Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
11357	2014-03-21 14:12:32.683	*	*	*	*	76.35	26000
11358	2014-03-21 14:12:43.057	*	*	76.3	2400	*	*
11359	2014-03-21 14:12:44.584	*	*	76.3	16400	*	*
11360	2014-03-21 14:12:44.645	*	*	76.3	17200	*	*
11361	2014-03-21 14:12:48.332	*	*	76.3	22800	*	*
11362	2014-03-21 14:12:57.262	76.35	400	*	*	*	*
11363	2014-03-21 14:12:57.262	*	*	*	*	76.35	25600
11364	2014-03-21 14:12:58.519	*	*	*	*	76.35	34400
11365	2014-03-21 14:12:58.628	*	*	76.3	8800	*	*
11366	2014-03-21 14:12:58.675	*	*	76.3	3600	*	*
11367	2014-03-21 14:13:00.361	*	*	76.3	4000	*	*
11368	2014-03-21 14:13:00.784	*	*	*	*	76.35	35600
11369	2014-03-21 14:13:01.768	76.3	800	*	*	*	*
11370	2014-03-21 14:13:01.768	76.3	400	*	*	*	*
11371	2014-03-21 14:13:01.768	76.3	400	*	*	*	*
11372	2014-03-21 14:13:01.768	76.3	400	*	*	*	*
11373	2014-03-21 14:13:01.768	76.3	400	*	*	*	*
11374	2014-03-21 14:13:01.768	*	*	76.3	1600	*	*
11375	2014-03-21 14:13:02.219	76.3	800	*	*	*	*
11376	2014-03-21 14:13:02.219	76.3	400	*	*	*	*
11377	2014-03-21 14:13:02.219	*	*	76.3	400	*	*
11378	2014-03-21 14:13:02.248	*	*	*	*	76.35	34400
11379	2014-03-21 14:13:02.277	*	*	*	*	76.35	33200
11380	2014-03-21 14:13:02.313	76.3	400	*	*	*	*
11381	2014-03-21 14:13:02.313	*	*	76.25	21600	76.3	800
11382	2014-03-21 14:13:02.316	*	*	*	*	76.3	2000
11383	2014-03-21 14:13:02.319	*	*	*	*	76.3	3200
11384	2014-03-21 14:13:02.326	76.3	800	*	*	*	*
11385	2014-03-21 14:13:02.326	*	*	*	*	76.3	2400
11386	2014-03-21 14:13:02.331	*	*	*	*	76.3	2800
11387	2014-03-21 14:13:02.343	*	*	*	*	76.3	4000
11388	2014-03-21 14:13:02.362	*	*	*	*	76.3	23600
11389	2014-03-21 14:13:02.364	*	*	76.25	7600	*	*
11390	2014-03-21 14:13:02.408	*	*	*	*	76.3	22400
11391	2014-03-21 14:13:02.410	*	*	*	*	76.3	21200
11392	2014-03-21 14:13:02.411	*	*	*	*	76.3	20000
11393	2014-03-21 14:13:02.498	*	*	*	*	76.3	20400
11394	2014-03-21 14:13:04.016	*	*	*	*	76.3	20800
11395	2014-03-21 14:13:04.998	*	*	76.25	10800	*	*
11396	2014-03-21 14:13:05.706	*	*	76.25	24800	*	*
11397	2014-03-21 14:13:08.060	76.3	400	*	*	*	*
11398	2014-03-21 14:13:08.060	76.3	400	*	*	*	*
11399	2014-03-21 14:13:08.060	*	*	*	*	76.3	20000
11400	2014-03-21 14:13:08.526	*	*	76.25	30400	*	*
11401	2014-03-21 14:13:09.065	76.3	400	*	*	*	*
11402	2014-03-21 14:13:09.065	*	*	*	*	76.3	19600
11403	2014-03-21 14:13:10.731	*	*	76.25	16400	*	*
11404	2014-03-21 14:13:11.556	*	*	76.25	11200	*	*
11405	2014-03-21 14:13:13.237	*	*	76.25	25200	*	*
11406	2014-03-21 14:13:13.342	*	*	76.25	30400	*	*
11407	2014-03-21 14:13:16.837	76.3	400	*	*	*	*
11408	2014-03-21 14:13:16.837	*	*	*	*	76.3	19200
11409	2014-03-21 14:13:17.143	*	*	76.25	16400	*	*
11410	2014-03-21 14:13:18.086	76.3	800	*	*	*	*
11411	2014-03-21 14:13:18.086	*	*	*	*	76.3	18400
11412	2014-03-21 14:13:18.313	*	*	76.25	11600	*	*
11413	2014-03-21 14:13:19.002	76.3	400	*	*	*	*
11414	2014-03-21 14:13:19.002	*	*	*	*	76.3	18000
11415	2014-03-21 14:13:30.004	76.3	2000	*	*	*	*
11416	2014-03-21 14:13:30.004	*	*	*	*	76.3	16000
11417	2014-03-21 14:13:32.345	76.3	400	*	*	*	*
11418	2014-03-21 14:13:32.345	*	*	*	*	76.3	15600
11419	2014-03-21 14:13:32.797	76.3	14800	*	*	*	*
11420	2014-03-21 14:13:32.797	*	*	*	*	76.3	800
11421	2014-03-21 14:13:32.799	76.3	400	*	*	*	*
11422	2014-03-21 14:13:32.799	76.3	400	*	*	*	*
11423	2014-03-21 14:13:32.799	*	*	*	*	76.35	21200
11424	2014-03-21 14:13:32.801	*	*	*	*	76.35	25200
11425	2014-03-21 14:13:32.810	*	*	76.3	800	*	*
11426	2014-03-21 14:13:32.814	*	*	*	*	76.35	22800
11427	2014-03-21 14:13:33.071	*	*	*	*	76.35	18800
11428	2014-03-21 14:13:33.093	76.35	3600	*	*	*	*
11429	2014-03-21 14:13:33.093	76.35	800	*	*	*	*
11430	2014-03-21 14:13:33.093	*	*	*	*	76.35	14400
11431	2014-03-21 14:13:33.097	*	*	76.3	1200	*	*
11432	2014-03-21 14:13:33.107	*	*	76.3	4800	*	*
11433	2014-03-21 14:13:33.878	*	*	76.3	4000	*	*
11434	2014-03-21 14:13:45.462	*	*	76.3	4400	*	*
11435	2014-03-21 14:13:53.310	*	*	76.3	9200	*	*
11436	2014-03-21 14:13:55.258	*	*	76.3	10800	*	*
11437	2014-03-21 14:13:56.883	*	*	76.3	13200	*	*
11438	2014-03-21 14:14:00.390	*	*	76.3	13600	*	*
11439	2014-03-21 14:14:02.005	*	*	76.3	14800	*	*
11440	2014-03-21 14:14:02.599	76.3	400	*	*	*	*
11441	2014-03-21 14:14:02.599	76.3	2400	*	*	*	*
11442	2014-03-21 14:14:02.599	*	*	76.3	12000	*	*
11443	2014-03-21 14:14:07.143	76.35	800	*	*	*	*
11444	2014-03-21 14:14:07.143	*	*	*	*	76.35	13600
11445	2014-03-21 14:14:07.436	76.35	800	*	*	*	*
11446	2014-03-21 14:14:07.436	*	*	*	*	76.35	12800
11447	2014-03-21 14:14:09.296	76.35	1600	*	*	*	*
11448	2014-03-21 14:14:09.296	*	*	*	*	76.35	11200
11449	2014-03-21 14:14:11.211	*	*	76.3	14000	*	*
11450	2014-03-21 14:14:12.986	76.35	4000	*	*	*	*
11451	2014-03-21 14:14:12.986	*	*	*	*	76.35	7200
11452	2014-03-21 14:14:12.989	*	*	76.3	28000	*	*
11453	2014-03-21 14:14:12.990	*	*	*	*	76.35	6400
11454	2014-03-21 14:14:12.990	*	*	*	*	76.35	15200
11455	2014-03-21 14:14:12.991	76.35	1200	*	*	*	*
11456	2014-03-21 14:14:12.991	76.35	1200	*	*	*	*
11457	2014-03-21 14:14:12.991	76.35	800	*	*	*	*
11458	2014-03-21 14:14:12.991	*	*	*	*	76.35	12000
11459	2014-03-21 14:14:13.050	*	*	*	*	76.35	11600
11460	2014-03-21 14:14:14.344	*	*	76.3	26000	*	*
11461	2014-03-21 14:14:14.344	*	*	76.3	34800	*	*
11462	2014-03-21 14:14:14.346	*	*	*	*	76.35	2800
11463	2014-03-21 14:14:15.267	*	*	76.3	35200	*	*
11464	2014-03-21 14:14:19.823	*	*	76.3	39200	*	*
11465	2014-03-21 14:14:28.517	*	*	76.3	25200	*	*
11466	2014-03-21 14:14:28.600	*	*	76.3	22800	*	*
11467	2014-03-21 14:14:30.952	76.35	400	*	*	*	*
11468	2014-03-21 14:14:30.952	*	*	*	*	76.35	2400
11469	2014-03-21 14:14:30.998	76.35	2400	*	*	*	*
11470	2014-03-21 14:14:30.998	*	*	76.35	2400	76.4	20400
11471	2014-03-21 14:14:31.004	*	*	*	*	76.4	20800
